total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho
124.98,54.02,8.88,-6.89,7.51
126.77,55.56,8.91,-6.93,8.31
126.77,55.56,8.91,-6.93,8.31
124.98,54.02,8.89,-6.91,8.3
126.77,55.56,8.92,-6.95,8.84
126.77,55.56,8.91,-6.93,8.31
126.77,55.56,8.91,-6.94,8.83
123.9,53.13,8.97,-7.02,8.97
123.9,53.13,8.97,-7.02,8.97
126.77,55.56,8.93,-6.97,8.85
125.37,54.36,8.95,-7.0,8.95
124.98,54.02,8.87,-6.88,7.5
56.73,10.6,7.62,-5.52,5.4
93.82,32.55,8.0,-5.91,7.73
94.24,32.55,7.91,-5.82,7.61
93.82,32.55,7.99,-5.9,7.74
67.43,16.08,7.76,-5.66,6.78
89.42,29.28,8.34,-6.27,8.13
93.82,30.23,8.08,-6.0,7.81
93.79,30.99,8.46,-6.4,7.79
88.44,28.69,8.39,-6.32,8.17
105.72,39.67,8.53,-6.47,7.87
93.79,30.99,8.49,-6.43,7.82
93.79,30.99,8.46,-6.4,7.79
89.42,29.28,8.32,-6.24,8.1
89.42,29.28,8.34,-6.27,8.13
105.72,39.67,8.53,-6.47,7.87
105.72,39.67,8.51,-6.45,7.84
105.72,39.67,8.56,-6.5,7.9
107.02,41.02,8.65,-6.6,7.99
107.02,41.02,8.62,-6.57,7.96
105.72,41.02,8.59,-6.53,7.92
112.51,44.37,8.76,-6.74,7.25
123.18,52.5,8.82,-6.82,5.32
113.16,50.46,8.78,-6.76,7.27
112.51,44.37,8.73,-6.7,7.21
111.9,43.89,8.7,-6.67,7.18
112.51,44.37,8.75,-6.72,7.23
111.9,43.89,8.68,-6.64,7.14
123.18,52.5,8.83,-6.83,7.46
123.18,52.5,8.83,-6.82,7.45
124.98,54.02,8.88,-6.88,7.5
123.18,52.5,8.86,-6.86,7.49
123.18,52.5,8.83,-6.82,7.45
123.18,52.5,8.82,-6.82,5.32
123.18,52.5,8.83,-6.82,7.45
105.72,39.67,8.53,-6.47,7.87
107.02,41.02,8.65,-6.6,7.99
105.72,41.02,8.59,-6.53,7.92
105.72,41.02,8.59,-6.53,7.92
105.72,39.67,8.55,-6.49,7.89
112.51,44.37,8.76,-6.74,7.25
111.9,43.89,8.72,-6.68,7.19
123.18,52.5,8.82,-6.82,5.32
112.51,44.37,8.76,-6.74,7.25
113.16,50.46,8.78,-6.76,7.27
112.51,44.37,8.75,-6.72,7.23
105.72,41.02,8.6,-6.55,7.94
111.9,43.89,8.7,-6.67,7.18
112.51,44.37,8.73,-6.7,7.21
107.02,41.02,8.65,-6.6,7.99
100.35,36.18,9.01,-7.27,7.61
104.65,38.98,9.03,-7.26,8.6
104.65,38.98,9.03,-7.25,8.6
105.67,39.66,9.04,-7.24,8.61
106.76,40.4,9.04,-7.23,8.61
105.67,39.66,9.04,-7.24,8.61
123.9,53.13,8.97,-7.02,8.97
126.77,55.56,8.94,-6.97,8.77
123.9,53.13,8.97,-7.03,8.56
123.9,53.13,8.97,-7.02,8.97
119.15,49.33,9.0,-7.09,8.55
121.22,50.98,8.99,-7.06,8.58
116.49,47.29,9.02,-7.14,8.57
117.19,47.81,9.01,-7.11,8.56
119.15,49.33,9.01,-7.1,8.55
115.79,46.77,9.03,-7.17,8.04
115.79,46.77,9.03,-7.16,8.58
106.76,40.4,9.04,-7.22,8.61
113.74,45.27,9.04,-7.19,8.05
113.74,45.27,9.04,-7.19,8.05
115.79,46.77,9.03,-7.17,8.04
115.79,46.77,9.03,-7.18,8.05
116.49,47.29,9.03,-7.15,8.57
115.79,46.77,9.03,-7.16,8.58
104.65,38.98,9.03,-7.25,8.6
105.67,39.66,9.04,-7.24,8.61
101.6,36.98,9.02,-7.27,8.59
104.65,38.98,9.03,-7.26,8.6
101.6,36.98,9.02,-7.27,8.59
104.65,38.98,9.03,-7.26,8.6
104.65,38.98,9.03,-7.26,8.6
100.35,36.18,9.01,-7.28,7.6
100.35,36.18,9.02,-7.27,7.61
94.22,32.29,8.97,-7.29,8.03
97.02,34.05,9.0,-7.28,7.59
95.52,33.1,8.98,-7.29,8.04
100.35,36.18,9.0,-7.28,7.6
97.02,34.05,9.0,-7.28,7.59
97.02,34.05,9.0,-7.28,7.59
100.35,36.18,9.01,-7.28,7.61
100.35,36.18,9.01,-7.28,7.6
101.6,36.98,9.02,-7.27,7.62
101.6,36.98,9.02,-7.27,7.61
101.6,36.98,9.02,-7.27,7.61
100.35,36.18,9.01,-7.27,7.61
101.6,36.98,9.02,-7.27,7.62
85.84,26.92,8.93,-7.29,8.13
91.3,30.48,8.95,-7.29,8.71
73.42,20.52,8.88,-7.29,8.41
78.79,22.88,8.9,-7.29,8.78
78.79,22.88,8.9,-7.29,8.78
68.06,2.93,8.73,-7.24,8.7
63.52,13.64,8.8,-7.26,8.06
64.53,0.79,2.23,-1.26,2.08
63.52,13.64,8.8,-7.27,8.45
63.52,13.64,8.8,-7.27,8.45
64.53,0.79,2.23,-1.26,2.08
63.52,13.64,8.81,-7.27,8.45
63.52,13.64,8.8,-7.27,8.45
64.84,14.73,8.86,-7.28,8.45
64.84,14.73,8.86,-7.28,8.45
64.84,14.73,8.84,-7.27,8.42
64.84,14.73,8.86,-7.28,8.45
63.52,13.64,8.83,-7.27,8.42
64.84,14.73,8.86,-7.28,8.45
91.3,30.48,8.95,-7.29,8.71
78.79,22.88,8.9,-7.29,8.78
91.3,30.48,8.94,-7.29,8.14
94.22,32.29,8.97,-7.29,8.03
94.22,32.29,8.97,-7.29,8.02
64.84,14.73,8.86,-7.28,8.45
73.42,20.52,8.89,-7.29,8.46
94.22,32.29,8.97,-7.29,8.03
78.79,22.88,8.9,-7.29,8.78
78.79,22.88,8.9,-7.29,8.78
91.3,30.48,8.94,-7.29,8.14
116.16,20.69,2.01,-1.21,2.0
116.16,20.69,2.01,-1.21,2.0
64.53,0.79,2.23,-1.26,2.21
73.54,5.03,2.17,-1.24,2.17
73.54,5.03,2.17,-1.24,2.17
116.16,20.69,2.03,-1.21,2.02
73.54,5.03,2.17,-1.24,2.17
73.54,5.03,2.17,-1.24,2.17
64.53,0.79,2.21,-1.26,2.21
73.54,5.03,2.19,-1.25,2.19
64.53,0.79,2.23,-1.26,2.21
64.53,0.79,2.23,-1.26,2.21
64.53,0.79,2.23,-1.26,2.21
73.54,5.03,2.17,-1.25,2.17
73.54,5.03,2.17,-1.25,2.17
64.53,0.79,2.21,-1.26,2.21
106.76,40.4,9.04,-7.23,8.61
104.65,38.98,9.03,-7.26,8.6
105.67,39.66,9.03,-7.25,8.6
106.76,40.4,9.04,-7.23,8.61
107.64,40.99,9.03,-7.22,8.61
59.34,12.2,3.13,-1.26,2.11
92.53,36.21,8.4,-6.33,8.18
125.1,54.13,8.97,-7.04,8.57
124.16,53.32,8.82,-6.82,7.43
76.57,104.6,2.95,-1.05,2.94
76.57,12.2,3.08,-1.2,2.15
93.4,31.74,8.0,-5.92,7.74
116.7,47.43,9.02,-7.14,8.57
128.23,56.86,8.93,-6.96,8.84
126.03,54.9,8.88,-6.9,8.28
128.23,56.86,8.91,-6.94,8.83
105.76,39.82,8.54,-6.48,7.87
111.4,42.54,8.68,-6.65,7.14
124.16,53.32,8.82,-6.81,5.3
103.68,38.34,9.02,-7.27,7.63
99.18,35.42,8.99,-7.29,7.6
103.68,38.34,9.02,-7.27,8.6
64.15,0.31,8.72,-7.24,8.72
71.58,19.28,8.88,-7.29,8.47
76.57,104.6,2.95,-1.05,2.94
76.57,12.2,3.07,-1.19,3.04
76.57,12.2,3.08,-1.2,2.15
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.06,2.73
59.4,11.51,7.59,-5.49,5.33
76.57,12.2,3.08,-1.2,2.15
76.57,104.6,2.96,-1.06,2.73
117.76,182.65,2.91,-1.02,2.91
59.34,12.2,3.13,-1.26,2.11
76.57,12.2,3.08,-1.2,2.15
70.82,18.01,7.83,-5.73,7.17
66.39,15.42,7.75,-5.65,6.78
89.99,29.63,8.26,-6.19,8.04
89.07,29.07,8.31,-6.24,8.09
93.4,31.74,8.03,-5.95,7.77
122.65,51.78,8.79,-6.78,7.27
115.48,46.54,9.03,-7.18,8.05
115.48,46.54,9.03,-7.18,8.05
116.7,47.43,9.02,-7.15,8.58
121.12,50.86,9.0,-7.09,8.55
125.1,54.13,8.97,-7.04,8.57
121.12,50.86,9.0,-7.09,8.55
125.1,54.13,8.96,-7.02,8.96
128.23,56.86,8.93,-6.96,8.84
126.61,55.42,8.95,-7.01,8.95
128.23,56.86,8.91,-6.94,8.82
126.03,54.9,8.86,-6.87,7.48
126.03,54.9,8.88,-6.89,7.5
128.23,56.86,8.9,-6.92,8.29
126.61,55.42,8.94,-6.98,8.78
93.4,31.74,8.0,-5.92,7.74
103.88,39.82,8.49,-6.43,7.82
92.53,29.07,8.36,-6.29,8.14
108.08,41.26,8.6,-6.55,7.94
105.76,39.74,8.55,-6.49,7.88
122.65,45.15,8.77,-6.75,7.24
112.11,44.63,8.72,-6.69,7.18
124.16,53.32,8.84,-6.84,7.45
124.16,53.32,8.82,-6.82,7.43
108.08,41.26,8.6,-6.55,7.94
112.11,45.15,8.73,-6.71,7.2
112.11,44.63,8.72,-6.69,7.18
99.18,35.42,9.0,-7.28,7.61
104.74,39.03,9.03,-7.25,8.61
118.98,49.19,9.01,-7.13,8.57
123.09,52.45,8.99,-7.07,8.54
113.41,45.03,9.03,-7.19,8.06
115.48,46.54,9.02,-7.16,8.58
103.68,38.34,9.02,-7.27,8.6
106.16,39.99,9.03,-7.24,8.61
95.67,33.2,8.98,-7.29,8.05
100.49,36.26,9.01,-7.28,7.61
103.68,38.34,9.01,-7.27,7.62
71.58,19.28,8.88,-7.29,8.42
92.81,31.36,8.94,-7.29,8.14
64.15,0.31,8.71,-7.24,8.71
65.1,14.79,8.83,-7.28,8.43
64.27,14.1,8.83,-7.28,8.42
92.81,31.36,8.94,-7.29,8.15
71.58,19.28,8.88,-7.29,8.47
92.81,31.36,8.94,-7.29,8.15
106.68,19.62,2.03,-1.21,2.02
64.15,0.31,2.2,-1.26,2.2
69.39,3.08,2.17,-1.25,2.17
64.15,0.31,2.21,-1.26,2.21
106.16,39.99,9.03,-7.24,8.61
76.57,104.6,2.95,-1.05,2.94
76.57,104.6,2.95,-1.05,2.94
76.57,104.6,2.95,-1.05,2.94
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.07,2.02
76.57,104.6,2.96,-1.06,2.73
76.57,12.2,3.08,-1.2,2.15
76.57,12.2,3.08,-1.2,2.15
76.57,12.2,3.08,-1.2,2.15
76.57,12.2,3.08,-1.2,2.15
76.57,104.6,2.96,-1.07,2.02
76.57,12.2,3.07,-1.19,3.04
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.06,2.73
59.34,12.2,3.13,-1.26,2.11
76.57,12.2,3.08,-1.2,2.15
59.34,12.2,3.13,-1.26,2.11
76.57,104.6,2.96,-1.07,2.02
76.57,12.2,3.08,-1.2,2.15
76.57,104.6,2.96,-1.06,2.73
76.57,104.6,2.96,-1.06,2.73
117.76,182.65,2.91,-1.02,2.91
76.57,104.6,2.95,-1.05,2.94
395.63,187.91,2.36,-0.51,1.77
76.57,104.6,2.95,-1.05,2.94
76.57,12.2,3.08,-1.2,2.15
76.57,12.2,3.08,-1.2,2.15
59.34,12.2,3.13,-1.26,2.11
76.57,12.2,3.08,-1.2,2.15
59.34,12.2,3.13,-1.26,2.11
59.34,12.2,3.13,-1.26,2.11
56.11,8.92,7.64,-5.54,5.81
59.4,11.51,7.57,-5.48,5.29
66.39,15.42,7.71,-5.61,6.4
94.17,32.2,7.94,-5.85,7.56
94.17,32.2,7.93,-5.84,7.55
66.39,15.42,7.77,-5.68,6.64
92.53,29.94,8.1,-6.02,7.84
92.53,31.74,8.09,-6.0,7.82
93.4,31.74,8.03,-5.95,7.77
89.07,29.07,8.33,-6.26,8.11
92.53,29.07,8.36,-6.29,8.14
89.99,29.63,8.29,-6.21,8.07
92.53,31.74,8.09,-6.0,7.82
93.4,31.74,8.0,-5.92,7.74
92.53,31.74,8.09,-6.0,7.82
93.4,31.74,7.97,-5.88,7.73
93.4,31.74,7.97,-5.88,7.73
98.17,39.82,8.47,-6.41,7.8
92.53,28.49,8.38,-6.31,8.16
89.07,29.07,8.31,-6.24,8.09
90.83,29.63,8.24,-6.16,8.02
124.16,53.32,8.83,-6.83,7.44
124.16,53.32,8.82,-6.81,5.3
115.48,46.54,9.03,-7.16,8.05
112.73,44.52,9.03,-7.2,8.06
113.41,45.03,9.03,-7.19,8.06
115.48,46.54,9.03,-7.18,8.05
115.48,46.54,9.02,-7.16,8.58
116.7,47.43,9.02,-7.15,8.58
115.48,46.54,9.02,-7.16,8.58
118.98,49.19,9.01,-7.12,8.56
121.12,50.86,9.0,-7.09,8.55
118.98,49.19,9.01,-7.12,8.57
123.09,52.45,8.98,-7.06,8.58
125.1,54.13,8.97,-7.04,8.57
123.09,52.45,8.99,-7.07,8.54
125.1,54.13,8.97,-7.04,8.57
123.09,52.45,8.99,-7.07,8.54
123.09,52.45,8.99,-7.07,8.54
118.98,49.19,9.01,-7.12,8.57
121.12,50.86,9.0,-7.1,8.56
125.1,54.13,8.96,-7.03,8.56
125.1,54.13,8.96,-7.01,8.96
125.1,54.13,8.96,-7.03,8.56
128.23,56.86,8.93,-6.97,8.77
128.23,56.86,8.93,-6.96,8.84
128.23,56.86,8.93,-6.97,8.77
128.23,56.86,8.92,-6.96,8.84
128.23,56.86,8.93,-6.97,8.77
128.23,56.86,8.93,-6.97,8.77
128.23,56.86,8.92,-6.96,8.84
128.23,56.86,8.89,-6.91,8.29
126.03,54.9,8.88,-6.89,7.5
126.03,54.9,8.88,-6.9,8.28
126.03,54.9,8.88,-6.9,8.28
124.16,53.32,8.84,-6.84,7.46
126.03,54.9,8.85,-6.86,7.47
126.03,54.9,8.87,-6.88,7.49
128.23,56.86,8.9,-6.92,8.29
128.23,56.86,8.91,-6.94,8.82
126.03,54.9,8.88,-6.9,8.28
128.23,56.86,8.91,-6.94,8.83
128.23,56.86,8.9,-6.93,8.3
128.23,56.86,8.91,-6.94,8.82
125.1,54.13,8.96,-7.02,8.96
125.1,54.13,8.96,-7.02,8.96
128.23,56.86,8.93,-6.96,8.84
126.61,55.42,8.95,-6.99,8.94
126.03,54.9,8.86,-6.87,7.48
59.4,11.51,7.62,-5.52,5.42
93.4,31.74,8.0,-5.92,7.74
94.17,32.2,7.9,-5.81,7.61
93.4,31.74,7.97,-5.88,7.73
66.39,15.42,7.75,-5.65,6.78
89.07,29.07,8.33,-6.26,8.11
92.53,31.74,8.07,-5.99,7.81
98.17,39.82,8.46,-6.4,7.78
92.53,28.49,8.38,-6.31,8.16
105.76,39.82,8.52,-6.46,7.85
103.88,39.82,8.49,-6.43,7.82
98.17,39.82,8.46,-6.4,7.78
89.07,29.07,8.31,-6.24,8.09
89.07,29.07,8.33,-6.26,8.11
105.76,39.82,8.52,-6.46,7.85
103.88,39.82,8.49,-6.43,7.82
105.76,39.74,8.55,-6.49,7.88
108.08,41.26,8.63,-6.58,7.96
108.08,41.26,8.6,-6.55,7.94
108.08,41.26,8.58,-6.52,7.91
112.11,45.15,8.75,-6.73,7.23
124.16,53.32,8.82,-6.81,5.3
122.65,45.15,8.78,-6.76,7.26
112.11,44.63,8.72,-6.69,7.18
111.4,44.63,8.7,-6.67,7.16
112.11,45.15,8.73,-6.71,7.2
111.4,42.54,8.68,-6.64,7.13
124.16,53.32,8.83,-6.83,7.44
124.16,53.32,8.82,-6.82,7.43
126.03,54.9,8.87,-6.88,7.49
124.16,53.32,8.85,-6.85,7.46
124.16,53.32,8.82,-6.82,7.43
124.16,53.32,8.82,-6.81,5.3
124.16,53.32,8.82,-6.82,7.43
105.76,39.82,8.52,-6.46,7.85
108.08,41.26,8.63,-6.58,7.96
108.08,41.26,8.58,-6.52,7.91
108.08,41.26,8.58,-6.52,7.91
105.76,39.74,8.55,-6.49,7.88
112.11,45.15,8.75,-6.72,7.22
112.11,44.63,8.72,-6.69,7.18
124.16,53.32,8.82,-6.81,5.3
112.11,45.15,8.75,-6.73,7.23
122.65,45.15,8.78,-6.76,7.26
112.11,45.15,8.75,-6.72,7.22
108.08,41.26,8.59,-6.54,7.93
111.4,44.63,8.7,-6.67,7.16
112.11,44.63,8.72,-6.69,7.18
108.08,41.26,8.62,-6.57,7.95
100.49,36.26,9.01,-7.28,7.62
103.68,38.34,9.02,-7.26,8.6
104.74,39.03,9.03,-7.25,8.6
106.16,39.99,9.03,-7.24,8.61
107.64,40.99,9.03,-7.23,8.61
106.16,39.99,9.03,-7.24,8.61
125.1,54.13,8.96,-7.02,8.96
128.23,56.86,8.93,-6.97,8.77
125.1,54.13,8.96,-7.03,8.56
125.1,54.13,8.96,-7.02,8.96
121.12,50.86,8.99,-7.08,8.55
123.09,52.45,8.98,-7.05,8.58
116.7,47.43,9.02,-7.14,8.57
118.98,49.19,9.01,-7.11,8.56
121.12,50.86,9.0,-7.09,8.55
115.48,46.54,9.03,-7.16,8.05
115.48,46.54,9.02,-7.16,8.58
112.73,44.52,9.03,-7.22,8.61
115.48,46.54,9.03,-7.19,8.06
115.48,46.54,9.03,-7.19,8.06
115.48,46.54,9.03,-7.17,8.05
115.48,46.54,9.03,-7.18,8.05
116.7,47.43,9.02,-7.15,8.58
115.48,46.54,9.02,-7.16,8.58
106.16,39.99,9.03,-7.25,8.61
106.16,39.99,9.03,-7.24,8.61
103.68,38.34,9.02,-7.27,8.6
104.74,39.03,9.02,-7.26,8.6
103.68,38.34,9.02,-7.27,8.6
104.74,39.03,9.03,-7.26,8.6
104.74,39.03,9.03,-7.26,8.6
99.18,35.42,9.0,-7.28,7.61
103.68,38.34,9.01,-7.27,7.62
94.07,32.2,8.97,-7.29,8.04
99.18,35.42,8.99,-7.29,7.6
95.67,33.2,8.98,-7.29,8.05
99.18,35.42,9.0,-7.28,7.61
99.18,35.42,9.0,-7.28,7.6
99.18,35.42,9.0,-7.28,7.6
100.49,36.26,9.01,-7.28,7.61
99.18,35.42,9.0,-7.28,7.61
103.68,38.34,9.02,-7.27,8.6
103.68,38.34,9.02,-7.27,7.63
103.68,38.34,9.02,-7.27,7.62
100.49,36.26,9.01,-7.28,7.62
103.68,38.34,9.02,-7.27,7.63
92.81,31.36,8.93,-7.29,8.14
92.81,31.36,8.94,-7.29,8.71
71.58,19.28,8.88,-7.29,8.47
78.42,22.78,8.89,-7.29,8.78
78.42,22.78,8.89,-7.29,8.78
76.14,4.07,8.72,-7.24,8.69
64.27,14.1,8.8,-7.27,8.07
64.15,0.31,8.71,-7.24,8.71
64.27,14.1,8.8,-7.27,8.45
64.27,14.1,8.8,-7.27,8.45
64.15,0.31,8.71,-7.24,8.71
64.27,14.1,8.81,-7.27,8.46
64.27,14.1,8.8,-7.27,8.45
65.1,14.79,8.86,-7.28,8.45
65.1,14.79,8.86,-7.28,8.45
64.27,14.1,8.83,-7.28,8.42
65.1,14.79,8.86,-7.28,8.45
64.27,14.1,8.83,-7.28,8.42
65.1,14.79,8.86,-7.28,8.45
92.81,31.36,8.95,-7.29,8.72
78.42,22.78,8.89,-7.29,8.78
92.81,31.36,8.94,-7.29,8.15
94.07,32.2,8.97,-7.29,8.03
94.07,32.2,8.97,-7.29,8.03
65.1,14.79,8.86,-7.28,8.45
71.58,19.28,8.88,-7.29,8.47
94.07,32.2,8.97,-7.29,8.04
78.42,22.78,8.89,-7.29,8.78
78.42,22.78,8.89,-7.29,8.78
92.81,31.36,8.94,-7.29,8.15
106.68,19.62,2.01,-1.21,2.0
106.68,19.62,2.01,-1.21,2.0
64.15,0.31,8.71,-7.24,8.47
69.39,3.08,2.17,-1.25,2.17
69.39,3.08,2.17,-1.25,2.17
106.68,19.62,2.03,-1.21,2.02
69.39,3.08,2.17,-1.25,2.17
69.39,3.08,2.17,-1.25,2.17
64.15,0.31,2.21,-1.26,2.21
64.15,3.08,2.19,-1.25,2.19
64.15,0.31,8.71,-7.24,8.47
64.15,0.31,8.71,-7.24,8.47
64.15,0.31,8.71,-7.24,8.47
69.39,3.08,2.17,-1.25,2.17
