total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate
76.57,12.2,3.08,2.99,-1.2
70.82,18.01,7.83,8.46,-5.73
66.39,15.42,7.75,7.31,-5.65
89.99,29.63,8.26,14.84,-6.19
89.07,29.07,8.31,15.61,-6.24
93.4,31.74,8.03,11.32,-5.95
122.65,51.78,8.79,26.45,-6.78
115.48,46.54,9.03,24.3,-7.18
115.48,46.54,9.03,24.67,-7.18
116.7,47.43,9.02,26.02,-7.15
121.12,50.86,9.0,28.16,-7.09
125.1,54.13,8.97,29.84,-7.04
121.12,50.86,9.0,27.97,-7.09
125.1,54.13,8.96,30.37,-7.02
128.23,56.86,8.93,31.8,-6.96
126.61,55.42,8.95,30.73,-7.01
128.23,56.86,8.91,31.08,-6.94
126.03,54.9,8.86,29.33,-6.87
126.03,54.9,8.88,29.9,-6.89
128.23,56.86,8.9,30.69,-6.92
126.61,55.42,8.94,31.43,-6.98
93.4,31.74,8.0,10.93,-5.92
103.88,39.82,8.49,18.92,-6.43
92.53,29.07,8.36,16.39,-6.29
108.08,41.26,8.6,21.27,-6.55
105.76,39.74,8.55,20.09,-6.49
122.65,45.15,8.77,25.69,-6.75
112.11,44.63,8.72,24.16,-6.69
124.16,53.32,8.84,28.38,-6.84
124.16,53.32,8.82,27.81,-6.82
108.08,41.26,8.6,21.27,-6.55
112.11,45.15,8.73,24.73,-6.71
112.11,44.63,8.72,24.16,-6.69
99.18,35.42,9.0,17.12,-7.28
104.74,39.03,9.03,20.39,-7.25
118.98,49.19,9.01,26.8,-7.13
123.09,52.45,8.99,28.75,-7.07
113.41,45.03,9.03,23.74,-7.19
115.48,46.54,9.02,25.43,-7.16
103.68,38.34,9.02,19.01,-7.27
106.16,39.99,9.03,20.79,-7.24
95.67,33.2,8.98,15.42,-7.29
100.49,36.26,9.01,17.68,-7.28
103.68,38.34,9.01,18.44,-7.27
71.58,19.28,8.88,10.97,-7.29
92.81,31.36,8.94,13.21,-7.29
64.15,0.31,8.71,6.01,-7.24
65.1,14.79,8.83,9.41,-7.28
64.27,14.1,8.83,9.23,-7.28
92.81,31.36,8.94,13.37,-7.29
71.58,19.28,8.88,11.13,-7.29
92.81,31.36,8.94,13.37,-7.29
106.68,19.62,2.03,0.53,-1.21
64.15,0.31,2.2,5.37,-1.26
69.39,3.08,2.17,4.35,-1.25
64.15,0.31,2.21,5.55,-1.26
106.16,39.99,9.03,21.38,-7.24
76.57,104.6,2.95,1.62,-1.05
76.57,104.6,2.95,1.62,-1.05
76.57,104.6,2.95,1.62,-1.05
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.76,-1.07
76.57,104.6,2.96,1.71,-1.06
76.57,12.2,3.08,2.99,-1.2
76.57,12.2,3.08,2.99,-1.2
76.57,12.2,3.08,2.99,-1.2
76.57,12.2,3.08,2.99,-1.2
76.57,104.6,2.96,1.76,-1.07
76.57,12.2,3.07,2.85,-1.19
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.71,-1.06
59.34,12.2,3.13,3.57,-1.26
76.57,12.2,3.08,2.99,-1.2
59.34,12.2,3.13,3.57,-1.26
76.57,104.6,2.96,1.76,-1.07
76.57,12.2,3.08,2.99,-1.2
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.71,-1.06
117.76,182.65,2.91,1.32,-1.02
76.57,104.6,2.95,1.62,-1.05
395.63,187.91,2.36,2.46,-0.51
76.57,104.6,2.95,1.62,-1.05
76.57,12.2,3.08,2.99,-1.2
76.57,12.2,3.08,2.99,-1.2
59.34,12.2,3.13,3.57,-1.26
76.57,12.2,3.08,2.99,-1.2
59.34,12.2,3.13,3.57,-1.26
59.34,12.2,3.13,3.57,-1.26
56.11,8.92,7.64,5.72,-5.54
59.4,11.51,7.57,4.66,-5.48
66.39,15.42,7.71,6.76,-5.61
94.17,32.2,7.94,10.02,-5.85
94.17,32.2,7.93,9.87,-5.84
66.39,15.42,7.77,7.65,-5.68
92.53,29.94,8.1,12.31,-6.02
92.53,31.74,8.09,12.11,-6.0
93.4,31.74,8.03,11.32,-5.95
89.07,29.07,8.33,16.0,-6.26
92.53,29.07,8.36,16.39,-6.29
89.99,29.63,8.29,15.23,-6.21
92.53,31.74,8.09,12.11,-6.0
93.4,31.74,8.0,10.93,-5.92
92.53,31.74,8.09,12.11,-6.0
93.4,31.74,7.97,10.42,-5.88
93.4,31.74,7.97,10.42,-5.88
98.17,39.82,8.47,18.53,-6.41
92.53,28.49,8.38,16.77,-6.31
89.07,29.07,8.31,15.61,-6.24
90.83,29.63,8.24,14.46,-6.16
124.16,53.32,8.83,28.19,-6.83
124.16,53.32,8.82,27.62,-6.81
115.48,46.54,9.03,25.24,-7.16
112.73,44.52,9.03,23.55,-7.2
113.41,45.03,9.03,23.74,-7.19
115.48,46.54,9.03,24.49,-7.18
115.48,46.54,9.02,25.43,-7.16
116.7,47.43,9.02,26.02,-7.15
115.48,46.54,9.02,25.43,-7.16
118.98,49.19,9.01,27.19,-7.12
121.12,50.86,9.0,27.97,-7.09
118.98,49.19,9.01,26.99,-7.12
123.09,52.45,8.98,29.13,-7.06
125.1,54.13,8.97,29.84,-7.04
123.09,52.45,8.99,28.95,-7.07
125.1,54.13,8.97,29.66,-7.04
123.09,52.45,8.99,28.75,-7.07
123.09,52.45,8.99,28.75,-7.07
118.98,49.19,9.01,26.99,-7.12
121.12,50.86,9.0,27.77,-7.1
125.1,54.13,8.96,30.2,-7.03
125.1,54.13,8.96,30.55,-7.01
125.1,54.13,8.96,30.2,-7.03
128.23,56.86,8.93,31.77,-6.97
128.23,56.86,8.93,31.8,-6.96
128.23,56.86,8.93,31.77,-6.97
128.23,56.86,8.92,31.62,-6.96
128.23,56.86,8.93,31.77,-6.97
128.23,56.86,8.93,31.77,-6.97
128.23,56.86,8.92,31.62,-6.96
128.23,56.86,8.89,30.5,-6.91
126.03,54.9,8.88,29.9,-6.89
126.03,54.9,8.88,30.1,-6.9
126.03,54.9,8.88,30.1,-6.9
124.16,53.32,8.84,28.57,-6.84
126.03,54.9,8.85,28.95,-6.86
126.03,54.9,8.87,29.52,-6.88
128.23,56.86,8.9,30.69,-6.92
128.23,56.86,8.91,31.08,-6.94
126.03,54.9,8.88,30.1,-6.9
128.23,56.86,8.91,31.26,-6.94
128.23,56.86,8.9,30.89,-6.93
128.23,56.86,8.91,31.08,-6.94
125.1,54.13,8.96,30.37,-7.02
125.1,54.13,8.96,30.37,-7.02
128.23,56.86,8.93,31.8,-6.96
126.61,55.42,8.95,31.08,-6.99
126.03,54.9,8.86,29.33,-6.87
59.4,11.51,7.62,5.36,-5.52
93.4,31.74,8.0,10.93,-5.92
94.17,32.2,7.9,9.52,-5.81
93.4,31.74,7.97,10.42,-5.88
66.39,15.42,7.75,7.31,-5.65
89.07,29.07,8.33,16.0,-6.26
92.53,31.74,8.07,11.91,-5.99
98.17,39.82,8.46,18.33,-6.4
92.53,28.49,8.38,16.77,-6.31
105.76,39.82,8.52,19.5,-6.46
103.88,39.82,8.49,18.92,-6.43
98.17,39.82,8.46,18.33,-6.4
89.07,29.07,8.31,15.61,-6.24
89.07,29.07,8.33,16.0,-6.26
105.76,39.82,8.52,19.5,-6.46
103.88,39.82,8.49,18.92,-6.43
105.76,39.74,8.55,20.09,-6.49
108.08,41.26,8.63,21.85,-6.58
108.08,41.26,8.6,21.27,-6.55
108.08,41.26,8.58,20.68,-6.52
112.11,45.15,8.75,25.31,-6.73
124.16,53.32,8.82,27.62,-6.81
122.65,45.15,8.78,26.07,-6.76
112.11,44.63,8.72,24.16,-6.69
111.4,44.63,8.7,23.78,-6.67
112.11,45.15,8.73,24.73,-6.71
111.4,42.54,8.68,23.02,-6.64
124.16,53.32,8.83,28.19,-6.83
124.16,53.32,8.82,27.81,-6.82
126.03,54.9,8.87,29.52,-6.88
124.16,53.32,8.85,28.76,-6.85
124.16,53.32,8.82,27.81,-6.82
124.16,53.32,8.82,27.62,-6.81
124.16,53.32,8.82,27.81,-6.82
105.76,39.82,8.52,19.5,-6.46
108.08,41.26,8.63,21.85,-6.58
108.08,41.26,8.58,20.68,-6.52
108.08,41.26,8.58,20.68,-6.52
105.76,39.74,8.55,20.09,-6.49
112.11,45.15,8.75,25.12,-6.72
112.11,44.63,8.72,24.16,-6.69
124.16,53.32,8.82,27.62,-6.81
112.11,45.15,8.75,25.31,-6.73
122.65,45.15,8.78,26.07,-6.76
112.11,45.15,8.75,25.12,-6.72
108.08,41.26,8.59,21.07,-6.54
111.4,44.63,8.7,23.78,-6.67
112.11,44.63,8.72,24.16,-6.69
108.08,41.26,8.62,21.66,-6.57
100.49,36.26,9.01,18.06,-7.28
103.68,38.34,9.02,19.4,-7.26
104.74,39.03,9.03,20.19,-7.25
106.16,39.99,9.03,21.38,-7.24
107.64,40.99,9.03,21.98,-7.23
106.16,39.99,9.03,21.19,-7.24
125.1,54.13,8.96,30.37,-7.02
128.23,56.86,8.93,31.77,-6.97
125.1,54.13,8.96,30.2,-7.03
125.1,54.13,8.96,30.37,-7.02
121.12,50.86,8.99,28.36,-7.08
123.09,52.45,8.98,29.31,-7.05
116.7,47.43,9.02,26.41,-7.14
118.98,49.19,9.01,27.38,-7.11
121.12,50.86,9.0,27.97,-7.09
115.48,46.54,9.03,25.24,-7.16
115.48,46.54,9.02,25.43,-7.16
112.73,44.52,9.03,22.57,-7.22
115.48,46.54,9.03,24.11,-7.19
115.48,46.54,9.03,24.11,-7.19
115.48,46.54,9.03,25.05,-7.17
115.48,46.54,9.03,24.67,-7.18
116.7,47.43,9.02,26.02,-7.15
115.48,46.54,9.02,25.43,-7.16
106.16,39.99,9.03,20.59,-7.25
106.16,39.99,9.03,21.38,-7.24
103.68,38.34,9.02,19.01,-7.27
104.74,39.03,9.02,19.6,-7.26
103.68,38.34,9.02,19.01,-7.27
104.74,39.03,9.03,19.8,-7.26
104.74,39.03,9.03,19.8,-7.26
99.18,35.42,9.0,17.31,-7.28
103.68,38.34,9.01,18.25,-7.27
94.07,32.2,8.97,15.05,-7.29
99.18,35.42,8.99,16.37,-7.29
95.67,33.2,8.98,15.61,-7.29
99.18,35.42,9.0,17.12,-7.28
99.18,35.42,9.0,16.74,-7.28
99.18,35.42,9.0,16.74,-7.28
100.49,36.26,9.01,17.68,-7.28
99.18,35.42,9.0,17.31,-7.28
103.68,38.34,9.02,19.01,-7.27
103.68,38.34,9.02,18.81,-7.27
103.68,38.34,9.02,18.62,-7.27
100.49,36.26,9.01,18.06,-7.28
103.68,38.34,9.02,18.81,-7.27
92.81,31.36,8.93,13.04,-7.29
92.81,31.36,8.94,13.54,-7.29
71.58,19.28,8.88,11.13,-7.29
78.42,22.78,8.89,11.45,-7.29
78.42,22.78,8.89,11.45,-7.29
76.14,4.07,8.72,6.25,-7.24
64.27,14.1,8.8,8.31,-7.27
64.15,0.31,8.71,6.01,-7.24
64.27,14.1,8.8,8.46,-7.27
64.27,14.1,8.8,8.46,-7.27
64.15,0.31,8.71,6.01,-7.24
64.27,14.1,8.81,8.57,-7.27
64.27,14.1,8.8,8.46,-7.27
65.1,14.79,8.86,10.11,-7.28
65.1,14.79,8.86,10.11,-7.28
64.27,14.1,8.83,9.23,-7.28
65.1,14.79,8.86,10.11,-7.28
64.27,14.1,8.83,9.23,-7.28
65.1,14.79,8.86,10.11,-7.28
92.81,31.36,8.95,13.7,-7.29
78.42,22.78,8.89,11.45,-7.29
92.81,31.36,8.94,13.37,-7.29
94.07,32.2,8.97,14.67,-7.29
94.07,32.2,8.97,14.67,-7.29
65.1,14.79,8.86,10.11,-7.28
71.58,19.28,8.88,11.13,-7.29
94.07,32.2,8.97,15.05,-7.29
78.42,22.78,8.89,11.45,-7.29
78.42,22.78,8.89,11.45,-7.29
92.81,31.36,8.94,13.37,-7.29
106.68,19.62,2.01,0.08,-1.21
106.68,19.62,2.01,0.08,-1.21
64.15,0.31,8.71,5.89,-7.24
69.39,3.08,2.17,4.35,-1.25
69.39,3.08,2.17,4.35,-1.25
106.68,19.62,2.03,0.53,-1.21
69.39,3.08,2.17,4.35,-1.25
69.39,3.08,2.17,4.35,-1.25
64.15,0.31,2.21,5.55,-1.26
64.15,3.08,2.19,5.01,-1.25
64.15,0.31,8.71,5.89,-7.24
64.15,0.31,8.71,5.89,-7.24
64.15,0.31,8.71,5.89,-7.24
69.39,3.08,2.17,4.5,-1.25
